date,weekdays,sleep_starts,sleep_ends,sleep_duration_min,light_sleep_min,rem_sleep_min,deep_sleep_min,readiness,sleep_score,activity_score,steps
1/31/20,Friday,10:56:00 PM,6:00:00 AM,369,233,49,87,81,72,80,10530
2/1/20,Saturday,12:05:00 AM,9:21:00 AM,472,308,101,63,80,76,82,6939
2/2/20,Sunday,12:29:00 AM,8:38:00 AM,448,244,114,90,79,79,89,7565
2/3/20,Monday,11:08:00 PM,5:58:00 AM,363,244,56,62,76,70,83,11067
2/4/20,Tuesday,11:24:00 PM,7:09:00 AM,400,237,68,95,73,74,78,3391
2/5/20,Wednesday,10:00:00 PM,7:15:00 AM,485,259,108,118,84,87,78,5212
2/6/20,Thursday,10:17:00 PM,6:04:00 AM,424,278,68,77,81,76,79,6658
2/7/20,Friday,10:35:00 PM,6:08:00 AM,397,226,77,93,81,74,73,9161
2/8/20,Saturday,10:35:00 PM,9:35:00 AM,581,332,128,120,90,88,79,7947
2/9/20,Sunday,10:59:00 PM,8:36:00 AM,470,268,103,98,89,82,74,5764
2/10/20,Monday,10:23:00 PM,5:42:00 AM,352,239,81,32,57,63,67,8695
2/11/20,Tuesday,12:08:00 AM,7:00:00 AM,380,195,86,98,74,74,75,7842
2/12/20,Wednesday,11:36:00 PM,6:01:00 AM,345,242,56,47,72,66,70,5782
2/13/20,Thursday,11:42:00 PM,6:12:00 AM,318,150,65,102,70,68,70,8798
2/14/20,Friday,11:28:00 PM,6:07:00 AM,352,195,77,79,72,70,76,10158
2/15/20,Saturday,12:35:00 AM,10:10:00 AM,507,292,131,83,78,80,75,9382
2/16/20,Sunday,1:21:00 AM,9:57:00 AM,448,202,97,148,79,77,77,6923
2/17/20,Monday,11:05:00 PM,6:02:00 AM,335,177,74,84,71,71,64,8903
2/18/20,Tuesday,11:18:00 PM,6:09:00 AM,373,190,86,97,78,77,70,6118
2/19/20,Wednesday,10:18:00 PM,5:51:00 AM,362,227,44,91,66,67,68,5582
2/20/20,Thursday,8:30:00 PM,5:41:00 AM,490,254,132,103,83,89,65,6892
2/21/20,Friday,10:58:00 PM,7:08:00 AM,435,247,87,101,81,80,72,14065
2/22/20,Saturday,11:43:00 PM,9:31:00 AM,527,307,132,88,70,84,74,9309
2/23/20,Sunday,11:50:00 PM,7:46:00 AM,421,220,99,102,78,80,71,8234
2/24/20,Monday,10:13:00 PM,5:46:00 AM,412,273,85,53,81,77,72,6912
2/25/20,Tuesday,10:46:00 PM,6:00:00 AM,360,202,61,96,76,72,77,11026
2/26/20,Wednesday,10:56:00 PM,6:13:00 AM,390,247,68,74,79,74,80,7473
2/28/20,Friday,11:01:00 PM,6:00:00 AM,384,243,79,61,68,72,82,10285
2/29/20,Saturday,11:40:00 PM,9:10:00 AM,499,284,121,94,85,83,86,8586
3/1/20,Sunday,9:22:00 PM,8:58:00 AM,569,330,141,97,81,89,82,9209
3/2/20,Monday,11:34:00 PM,5:53:00 AM,384,220,55,109,82,71,82,6999
3/3/20,Tuesday,10:37:00 PM,6:00:00 AM,386,224,79,82,83,76,79,6953
3/5/20,Thursday,10:08:00 PM,6:00:00 AM,438,272,87,78,81,82,76,10213
3/6/20,Friday,10:49:00 PM,5:55:00 AM,355,175,79,101,67,68,69,7738
3/7/20,Saturday,11:44:00 PM,8:42:00 AM,496,265,121,109,76,84,78,8234
3/8/20,Sunday,11:21:00 PM,9:00:00 AM,504,308,109,86,80,84,87,12980
3/9/20,Monday,11:32:00 PM,7:02:00 AM,373,235,62,75,76,71,85,6102
3/10/20,Tuesday,10:32:00 PM,7:14:00 AM,448,313,97,38,76,77,80,6567
3/11/20,Wednesday,11:39:00 PM,5:57:00 AM,332,193,49,89,70,69,76,5217
3/12/20,Thursday,12:09:00 AM,7:56:00 AM,397,221,81,94,79,74,70,4413
3/13/20,Friday,11:38:00 PM,8:06:00 AM,464,290,99,74,78,79,74,7159
3/14/20,Saturday,11:45:00 PM,10:09:00 AM,467,282,89,95,76,76,82,11878
3/15/20,Sunday,12:49:00 AM,7:28:00 AM,344,175,73,96,72,67,86,16491
3/16/20,Monday,10:09:00 PM,7:11:00 AM,467,326,101,40,73,78,82,9399
